ID;Tipo;Título;Asignado a;Padre;Estado;Área;Tags;Iteración;Última modificación;Fec Creado;Fec Activado;Fec Resuelto;Fec Cerrado;Puntos Historia;Estimación;Resolved reason;Prioridad;Severidad
42298;User Story;Predial: Fase 3;;;New;SILIN\Squad - Migracion;;SILIN;10/08/2025 19:48:06;19/06/2025 20:34:18;;;;;;;1;
42299;Task;Número ID Nulo;;42298;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:45:03;19/06/2025 20:34:56;;;;;2.0;;2;
42300;Task;Nombre Duplicado con ID's distintos;;42298;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:45:07;19/06/2025 20:35:14;;;;;2.0;;2;
42301;Task;Tipo de documento Nulo;;42298;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:45:11;19/06/2025 20:35:31;;;;;2.0;;2;
42302;Task;Expediente sin Título Ejecutivo asociado;;42298;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:45:17;19/06/2025 20:35:42;;;;;2.0;;2;
42303;Task;Rechazado por múltiples titulos ejecutivos;;42298;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:45:23;19/06/2025 20:36:22;;;;;2.0;;2;
42399;User Story;Desarrollo ETL Deudas Multas Transito;;40508;Refinement;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;24/06/2025 15:56:31;;;;;;;1;
42400;User Story;Desarrollo ETL Deuda Multas Policía;;40508;Active;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;24/06/2025 15:57:12;16/09/2025 17:09:45;;;;;;1;
42401;User Story;Desarrollo ETL Deuda Circulación y Transito;;40508;Refinement;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;24/06/2025 15:57:36;;;;;;;1;
42667;Bug;No se migro Liquidación oficial  de cobro de sanciones , en cartera con doble vigencia;Hernán Gutierrez;44925;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.4;08/09/2025 14:21:21;02/07/2025 19:10:50;09/07/2025 18:00:57;03/09/2025 13:04:13;08/09/2025 14:21:21;;;Fixed;2;3 - Medium
42779;User Story;[ETLF] Migración de actividades ejecutadas manualmente por la Alcaldía de Palmira;;43349;Refinement;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;09/07/2025 17:05:39;;;;;;;1;
42780;User Story;Evaluar la arquitectura para tener un contribuyente diferente para el expediente y otro para el dueño del predio;;;New;SILIN\Squad - Migracion;;SILIN;25/07/2025 12:44:26;09/07/2025 17:12:23;;;;;;;1;
42789;Bug;Revisar junto a Jose Herrera las devoluciones de los procesadores en ICA (52 expedientes);andres.castano;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:39:05;09/07/2025 19:46:42;29/07/2025 20:26:50;29/07/2025 20:26:50;29/07/2025 20:26:50;;;Fixed and verified;2;3 - Medium
42801;User Story;ICA fase 3: Diferentes al 79;;;Paused;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;10/07/2025 13:13:43;11/07/2025 16:54:13;;;;;;1;
42841;Task;Revisión de calidad de datos de los acuerdos de pago que se van a migrar.;ana.ospina;43396;Closed;SILIN\Squad - Migracion;"Arnulfo Torres; George Quintero; QA";SILIN\SPR-2025-3.3;27/08/2025 13:25:07;10/07/2025 18:58:48;;;27/08/2025 13:25:07;;2.0;;2;
42842;Task;Ejecución Pruebas Ambiente QA;ana.ospina;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:23:55;10/07/2025 20:42:24;;;27/08/2025 13:23:55;;8.0;;2;
42843;Task;Diseño de Casos de Prueba QA;ana.ospina;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:23:45;10/07/2025 20:43:01;;;27/08/2025 13:23:45;;2.0;;2;
42844;Task;Certificación Ambiente QA;ana.ospina;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:23:35;10/07/2025 20:43:54;;;27/08/2025 13:23:35;;2.0;;2;
42853;Bug;Revisar los acuerdos de pago que fallaron al tratar de hacer la migración;Julian Rojas;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:12:08;10/07/2025 23:29:32;20/08/2025 20:38:38;27/08/2025 17:12:08;27/08/2025 17:12:08;;;Fixed and verified;2;3 - Medium
42860;Task;"Cambiar el estado de los expedientes a estado ""Suspendido"" (si cruzan con acuerdos de pago)";Julian Rojas;43391;Closed;SILIN\Squad - Migracion;"Felipe Castaño; Pair Programming";SILIN\SPR-2025-3.3;19/08/2025 20:32:14;11/07/2025 13:24:56;12/08/2025 13:05:55;;19/08/2025 20:32:14;;8.0;;2;
42862;Task;"Revisar que todos los expedientes que estuvieran en cartera de convenios estén en estado ""Suspendido"" y tengan un convenio relacionado.";Julian Rojas;43391;Closed;SILIN\Squad - Migracion;"Felipe Castaño; Pair Programming";SILIN\SPR-2025-3.3;27/08/2025 13:22:45;11/07/2025 13:26:55;20/08/2025 12:51:45;;27/08/2025 13:22:45;;8.0;;2;
42863;User Story;Predial: Disponibilizar info de convenios / acuerdos de pago (1189) (Fase 2);jose.herrera;;New;SILIN\Squad - Migracion;;SILIN;10/08/2025 19:48:06;11/07/2025 13:36:33;;;;;;;1;
42864;User Story;ICA: Disponibilizar info de convenios / acuerdos de pago (89) (Fase 2);jose.herrera;;New;SILIN\Squad - Migracion;;SILIN;10/08/2025 19:48:06;11/07/2025 13:36:54;;;;;;;1;
42870;User Story;Desarrollo ETL Deuda Incapacidades;;40508;Refinement;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;11/07/2025 20:48:21;;;;;;;1;
42871;User Story;Desarrollo ETL Acuerdos de Pago Generico;;40508;Refinement;SILIN\Squad - Migracion;;SILIN;23/12/2025 14:15:18;11/07/2025 20:49:50;;;;15.0;;;1;
42881;Bug;Se muestra diferencia en la informacion del acuerdo y pago y el expediente. ICA- Predial;Carlos Andres Aldana;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:33:47;13/07/2025 18:21:35;30/07/2025 17:43:21;30/07/2025 17:43:21;30/07/2025 17:43:21;;;Fixed and verified;2;3 - Medium
42899;Task;Buscar una solución que permita optimizar la migración de títulos ejecutivos según experiencia en Staging;Gustavo Espinosa;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:20:04;14/07/2025 13:40:05;14/07/2025 22:04:18;;27/08/2025 17:20:04;;4.0;;2;
42939;Bug;Revision de titulos ejecutivos faltantes (69 titulos);andres.castano;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:39:12;14/07/2025 22:18:33;29/07/2025 20:27:00;29/07/2025 20:27:00;29/07/2025 20:27:00;;;Fixed and verified;2;3 - Medium
42989;User Story;Disponibilizar datos del tributo RETEICA;;;New;SILIN\Squad - Migracion;;SILIN;10/08/2025 19:45:59;16/07/2025 13:43:49;;;;;;;1;
43352;User Story;[ETFL] Lectura y preparación de PDFs para migración de expedientes;Sebastian Granda;43364;Closed;SILIN\Squad - Migracion;"Documentos; ICA; PREDIAL";SILIN\SPR-2025-3.3;27/08/2025 13:21:04;25/07/2025 14:08:43;25/07/2025 15:16:36;27/08/2025 13:21:04;27/08/2025 13:21:04;;;;1;
43387;User Story;[ETFL] Migración de registros faltantes - PREDIAL (Fase 1 y Fase 2);Camilo Rojas Lopera;43349;Closed;SILIN\Squad - Migracion;"Datos; PREDIAL";SILIN\SPR-2025-3.3;27/08/2025 17:20:28;25/07/2025 19:18:45;31/07/2025 14:30:13;27/08/2025 17:20:28;27/08/2025 17:20:28;;;;1;
43388;User Story;[ETFL] Migración de registros faltantes - ICA (Proceso 79) (Fase 1 y Fase 2);andres.castano;43349;Closed;SILIN\Squad - Migracion;"Datos; ICA";SILIN\SPR-2025-3.3;27/08/2025 17:21:33;25/07/2025 19:43:43;31/07/2025 14:30:01;27/08/2025 17:21:15;27/08/2025 17:21:15;;;;4;
43391;User Story;[ETFL] Migración de Acuerdos de pago - PREDIAL;Julian Rojas;43349;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:10:51;25/07/2025 20:16:58;29/07/2025 20:24:18;27/08/2025 17:10:51;27/08/2025 17:10:51;;;;1;
43396;User Story;[ETFL] Migración de Acuerdos de pago - ICA;Julian Rojas;43349;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:12:27;25/07/2025 20:33:41;29/07/2025 20:24:06;27/08/2025 17:12:27;27/08/2025 17:12:27;;;;1;
43404;User Story;[ETFL+QA] Migración de PDF's Acuerdos de Pago - ICA y PREDIAL;Alejandro Remolina;43364;Closed;SILIN\Squad - Migracion;"Ana Ospina; Documentos; Palmira; PREDIAL";SILIN\SPR-2025-4.4;05/12/2025 19:36:02;27/07/2025 23:36:08;29/10/2025 13:46:45;26/11/2025 15:41:38;05/12/2025 19:36:01;8.0;;;1;
43528;Task;Script para generación de Inventarios (ICA y PREDIAL) BucketS3 //silin-migration-data-lake-dev.;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:30:15;28/07/2025 20:54:53;28/07/2025 20:58:24;;28/07/2025 21:20:41;;6.0;;2;
43529;Task;Ejecución y generación Inventarios ICA y predial desde fuente.;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:31:20;28/07/2025 21:15:46;28/07/2025 21:16:00;;28/07/2025 21:20:55;;2.0;;2;
43530;Task;Script V1 para copiado de Archivos Bucket Origen : //silin-migration-data-lake-dev  en Buckets de destino segun entorno dev, qa, staging, prod;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:30:27;28/07/2025 21:20:17;28/07/2025 21:20:27;;28/07/2025 21:21:57;;8.0;;2;
43531;Task;Ejecución V0 de Script, según, Inventario, Entorno, porcentaje, bucket de origen, prefijo de origen,  bucket de destino, prefijo de destino y archivo de logs;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:31:29;28/07/2025 21:24:56;28/07/2025 21:25:02;;08/08/2025 12:21:55;;27.0;;2;
43644;Task;Asesoria tecnica de BD silin para expedientes;Hernán Gutierrez;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;20/08/2025 14:09:15;29/07/2025 21:10:44;29/07/2025 21:10:49;;20/08/2025 14:09:15;;5.0;;2;
43660;Bug;El periodo de la deuda no esta acorde a las fechas inicio y fin del Acuerdo;Julian Rojas;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:27:09;29/07/2025 22:15:32;20/08/2025 20:39:36;27/08/2025 13:27:09;27/08/2025 13:27:09;;;Fixed and verified;2;3 - Medium
43841;Bug;"El ""tipo de persona"" no esta acorde a la información encontrada en la matriz de AP";Julian Rojas;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;21/08/2025 01:33:37;31/07/2025 13:55:05;12/08/2025 23:12:07;21/08/2025 01:33:37;21/08/2025 01:33:37;;;Fixed and verified;2;3 - Medium
43947;User Story;Aplicación de recaudos PREDIAL;Samy Medina;43349;Closed;SILIN\Squad - Migracion;Samy Medina;SILIN\SPR-2025-4.1;31/10/2025 14:42:31;01/08/2025 16:33:41;01/08/2025 16:45:29;;27/10/2025 21:32:46;10.0;;;1;
43968;Enabler Story;[ETFL] Cargue de PDF's en Base de Datos SILIN Expedientes (ICA/Predial);Sebastian Granda;43364;Closed;SILIN\Squad - Migracion;"Documentos; ICA; PREDIAL";SILIN\SPR-2025-3.3;27/08/2025 13:19:50;04/08/2025 15:52:42;06/08/2025 20:59:06;;27/08/2025 13:19:50;;;;;
43969;Enabler Story;[ETFL] Cargue de PDF's en Base de Datos SILIN Acuerdos de Pagos (ICA/Predial);Sebastian Granda;43364;Closed;SILIN\Squad - Migracion;"Documentos; ICA; PREDIAL";SILIN\SPR-2025-3.3;27/08/2025 17:10:28;04/08/2025 15:59:10;27/08/2025 13:20:35;;27/08/2025 17:10:28;;;;;
43970;Bug;La vista de Liquidaciones en Facturación no esta acorde a lo migrado;brahianf.hurtado;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:34:18;04/08/2025 16:11:48;10/08/2025 19:40:26;21/08/2025 00:24:53;27/08/2025 13:34:18;;;Fixed;2;3 - Medium
43989;Task;1. Procedimiento aplicación de pagos Predial;Samy Medina;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.4;27/08/2025 17:46:17;04/08/2025 23:04:07;06/08/2025 19:20:53;;14/08/2025 02:55:51;;16.0;;2;
43990;Task;2. Tratamiento de intereses;Samy Medina;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.4;27/08/2025 17:46:17;04/08/2025 23:12:46;14/08/2025 02:55:39;;15/08/2025 13:34:38;;16.0;;2;
43991;Task;3. Validación de Acuerdo de Pago;Samy Medina;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.4;27/08/2025 17:46:17;04/08/2025 23:15:41;14/08/2025 02:55:59;;15/08/2025 13:34:51;;16.0;;2;
43992;Task;4. Aplicación del Pago;Samy Medina;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.4;29/08/2025 13:36:41;04/08/2025 23:18:41;19/08/2025 13:37:18;;29/08/2025 13:36:41;;8.0;;2;
43993;Task;5. Validación de pago;Samy Medina;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.4;01/09/2025 13:46:49;04/08/2025 23:20:54;19/08/2025 13:37:26;;01/09/2025 13:46:49;;24.0;;2;
44088;Task;Ejecución de pruebas ambiente QA;ana.ospina;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:30:28;06/08/2025 13:39:06;06/08/2025 13:39:19;;27/08/2025 13:30:28;;20.0;;2;
44089;Task;Certificación ambiente QA;ana.ospina;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:30:43;06/08/2025 13:40:08;;;27/08/2025 13:30:43;;8.0;;2;
44090;Task;Ejecución Pruebas Ambiente QA;george.quintero;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:34:35;06/08/2025 13:41:02;06/08/2025 13:41:23;;27/08/2025 13:34:35;;20.0;;2;
44091;Task;Certificación Ambiente QA;george.quintero;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:17:08;06/08/2025 13:41:58;06/08/2025 13:42:07;;27/08/2025 17:17:08;;8.0;;2;
44094;Task;Diseño de Casos de Prueba;george.quintero;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.5;16/09/2025 20:43:54;06/08/2025 13:56:39;11/09/2025 14:34:44;;16/09/2025 20:43:54;;8.0;;2;
44095;Task;Ejecución de Casos de Prueba QA;george.quintero;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-4.1;27/10/2025 17:24:14;06/08/2025 13:57:16;16/09/2025 20:43:37;;27/10/2025 17:24:14;;16.0;;2;
44096;Task;Certificación Ambiente QA;george.quintero;43947;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-4.1;27/10/2025 17:26:28;06/08/2025 13:57:46;;;27/10/2025 17:26:28;;8.0;;2;
44167;Task;Script V2(Optimización) para copiado de Archivos Bucket Origen : //silin-migration-data-lake-dev  en Buckets de destino segun entorno dev, qa, staging, prod;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:31:36;08/08/2025 12:18:47;08/08/2025 12:19:14;;08/08/2025 12:22:19;;5.0;;2;
44168;Task;Script V3(Optimización) para copiado de Archivos Bucket Origen : //silin-migration-data-lake-dev  en Buckets de destino segun entorno dev, qa, staging, prod;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:30:43;08/08/2025 12:20:16;08/08/2025 12:22:39;;08/08/2025 12:22:58;;5.0;;2;
44169;Task;Contextualización/Validación prefijo para almacenamiento.;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:30:51;08/08/2025 12:25:25;08/08/2025 12:25:42;;08/08/2025 12:25:53;;4.0;;2;
44170;Task;Ejecución V1(ROLLBACK) de Script, según, Inventario, Entorno, porcentaje, bucket de origen, prefijo de origen,  bucket de destino, prefijo de destino y archivo de logs;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:30:58;08/08/2025 12:31:42;08/08/2025 12:31:53;;08/08/2025 12:32:05;;8.0;;2;
44171;Task;Contextualización equipo de QA, para certificación de proceso de copiado.;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:40:21;08/08/2025 12:37:30;08/08/2025 12:38:04;;27/08/2025 17:40:21;;2.0;;2;
44172;Task;Ejecución V2(ambiente prod) de Script, según, Inventario, Entorno, porcentaje, bucket de origen, prefijo de origen,  bucket de destino, prefijo de destino y archivo de logs;Daniel Insuasti;43352;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:40:24;08/08/2025 12:44:22;08/08/2025 12:45:05;;27/08/2025 17:40:24;;4.0;;2;
44173;Task;Contextualización Bases de datos, Tablas, y campos para asociación Documentos;Daniel Insuasti;43968;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;2025-08-12T21:32:37Z;08/08/2025 12:55:16;08/08/2025 12:55:25;;2025-08-12T21:32:37Z;;12.0;;2;
44174;Task;Contextualización Coleccion Athena para Homologacion migración;Daniel Insuasti;43968;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;12/08/2025 21:32:29;08/08/2025 13:02:54;08/08/2025 13:03:20;;12/08/2025 21:32:29;;3.0;;2;
44175;Task;Contextualización Bases de datos, Tablas, y campos para asociación Documentos;Daniel Insuasti;43969;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:40:11;08/08/2025 13:05:22;08/08/2025 13:06:29;;27/08/2025 17:40:11;;4.0;;2;
44176;Task;Contextualización Coleccion Athena para Homologacion migración;Daniel Insuasti;43969;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:40:13;08/08/2025 13:06:09;08/08/2025 13:06:35;;27/08/2025 17:40:13;;2.0;;2;
44177;Task;Generación PoC/Prueba para verificar Estrategia de Disponibilización(Funcional para 2 registros);Daniel Insuasti;43968;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;12/08/2025 21:32:19;08/08/2025 13:10:12;08/08/2025 13:10:23;;12/08/2025 21:32:19;;3.0;;2;
44178;Task;Generación PoC/Prueba para verificar Estrategia de Disponibilización(Funcional para 2 registros);Daniel Insuasti;43969;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:40:15;08/08/2025 13:11:01;;;27/08/2025 17:40:15;;2.0;;2;
44179;Task;Generación de Script/ETL para cargue de tablas;Daniel Insuasti;43968;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:19:40;08/08/2025 13:13:04;;;27/08/2025 13:19:40;;12.0;;2;
44180;Task;Generación de Script/ETL para cargue de tablas;Daniel Insuasti;43969;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 17:40:16;08/08/2025 13:13:51;;;27/08/2025 17:40:16;;12.0;;2;
44182;Bug;Los valores menores a $0 no estan sumando en el valor de cartera total;José Sastoque;43387;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;11/08/2025 17:37:37;08/08/2025 16:22:07;10/08/2025 19:38:31;10/08/2025 19:38:39;10/08/2025 21:43:17;;;Fixed;2;3 - Medium
44187;User Story;[ETFL] Migración nuevos registros  ICA (Proceso 79) [Parte 2];andres.castano;43349;Closed;SILIN\Squad - Migracion;"Datos; ICA";SILIN\SPR-2025-3.3;27/08/2025 17:12:33;10/08/2025 20:07:56;;;27/08/2025 13:32:31;;;;1;
44189;Task;Validar y almacenar valores de sobretasas en Base de datos SILIN - ICA + PREDIAL;Julian Rojas;43396;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;20/08/2025 20:33:35;11/08/2025 12:31:04;14/08/2025 03:06:24;;20/08/2025 20:33:35;;1.0;;1;
44190;Task;No migrar actividades de auto de archivo;andres.castano;43388;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;27/08/2025 13:35:20;11/08/2025 12:34:50;11/08/2025 14:12:25;;27/08/2025 13:35:20;;1.5;;2;
44454;Bug;Los periodos ligados al AP no se encuentran Bloqueados por el Módulo de Facturación y en Cartera no genera el No. del convenio;Julian Rojas;43391;Closed;SILIN\Squad - Migracion;;SILIN\SPR-2025-3.3;22/08/2025 05:57:44;19/08/2025 15:51:56;22/08/2025 05:57:44;22/08/2025 05:57:44;22/08/2025 05:57:44;;;Fixed and verified;2;3 - Medium
